Sno,Company,calendar_year,OperatingExpenseExItems,NetIncome,PaymentsOfDividends,DPR,DPR0,DDPR,NI0,Ex0,p
19,Align Technology Inc,2018,,400235000,,0,0,0,144020000,0,0.25605336
20,Allegion plc,2018,,435400000,79400000,0.182361047,0.248217758,-0.06585671,154300000,0,0.25605336
21,Allergan plc,2018,6503300000,-5086200000,1049800000,-0.206401636,0.053094861,-0.259496497,3919400000,783600000,0.25605336
22,Alliance Data Systems Corp,2018,,963100000,125200000,0.129996885,0,0.129996885,605400000,0,0.25605336
23,Alliant Energy Corp,2018,0,522300000,312200000,0.597740762,0.636714727,-0.038973965,388400000,0,0.25605336
24,Allstate Corp,2018,83000000,2252000000,748000000,0.332149201,0.275909719,0.056239482,2171000000,39000000,0.25605336
25,Alphabet Inc.,2018,,30736000000,,0,0.002874969,-0.002874969,16348000000,0,0.25605336
26,"Altria Group, Inc.",2018,383000000,6967000000,5415000000,0.777235539,0.79706275,-0.019827211,5243000000,4000000,0.25605336
27,Amazon Com Inc,2018,,10073000000,,0,0,0,596000000,0,0.25605336
28,Ameren Corp,2018,,821000000,451000000,0.549330085,0.632075472,-0.082745386,636000000,69000000,0.25605336
29,American Airlines Group Inc.,2018,787000000,1412000000,186000000,0.131728045,0.03653088,0.095197165,7610000000,1051000000,0.25605336
30,American Electric Power Co Inc,2018,70600000,1931300000,1255500000,0.650080257,0.516006432,0.134073825,2052300000,0,0.25605336
31,American Express Co,2018,,6921000000,1324000000,0.191301835,0.226999806,-0.035697971,5163000000,0,0.25605336
32,American International Group Inc,2018,-38000000,61000000,1138000000,18.6557377,0.462646265,18.19309144,2222000000,11000000,0.25605336
33,American Tower Corp /MA/,2018,,1264700000,1342400000,1.061437495,1.183779762,-0.122342267,672000000,0,0.25605336
34,"American Water Works Company, Inc.",2018,37000000,565000000,319000000,0.56460177,0.50210084,0.06250093,476000000,-3000000,0.25605336
35,Ameriprise Financial Inc,2018,,2098000000,506000000,0.241182078,0.275637226,-0.034455148,1687000000,0,0.25605336
36,Amerisourcebergen Corp,2018,243204000,1615892000,333041000,0.206103502,-1.83779539,2.043898892,-138165000,37894000,0.25605336
37,Ametek Inc/,2018,,777933000,128911000,0.165709643,0.14553049,0.020179153,590859000,0,0.25605336
38,Amgen Inc,2018,,8394000000,3507000000,0.417798427,0.345294711,0.072503716,6939000000,0,0.25605336
39,Amphenol Corp /DE/,2018,8500000,1216900000,253700000,0.208480565,0.206266995,0.002213571,772300000,5700000,0.25605336
40,Anadarko Petroleum Corp,2018,800000000,752000000,528000000,0.70212766,-0.08118027,0.78330793,-6812000000,5075000000,0.25605336
41,Analog Devices Inc,2018,61318000,1495432000,703307000,0.470303564,0.704655621,-0.234352057,696878000,0,0.25605336
42,Ansys Inc,2018,,419375000,,0,0,0,252521000,0,0.25605336
43,"Anthem, Inc.",2018,,3750000000,776000000,0.206933333,0.256484375,-0.049551042,2560000000,0,0.25605336
44,Aon plc,2018,,1174000000,382000000,0.325383305,0.227144866,0.098238439,1422000000,0,0.25605336
45,Apache Corp,2018,539000000,286000000,382000000,1.335664336,-0.035342646,1.371006981,-10667000000,9604000000,0.25605336
46,Apartment Investment & Management Co,2018,0,716603000,246098000,0.343423067,0.717622057,-0.37419899,271983000,0,0.25605336
47,Apple Inc,2018,,59531000000,13712000000,0.230333776,0.216522456,0.01381132,53394000000,0,0.25605336
48,Applied Materials Inc /DE,2018,,3313000000,605000000,0.182613945,0.353667393,-0.171053448,1377000000,0,0.25605336
49,Aptiv PLC,2018,109000000,1107000000,233000000,0.210478771,0.186319218,0.024159553,1535000000,65000000,0.25605336
541,Archer Daniels Midland Co,2018,171000000,1815000000,758000000,0.417630854,0.372156013,0.045474841,1846000000,200000000,0.25605336
542,Arconic Inc.,2018,9000000,642000000,119000000,0.185358255,-1.131979695,1.317337951,-197000000,239000000,0.25605336
543,"Arista Networks, Inc.",2018,405000000,328115000,,0,0,0,121102000,0,0.25605336
544,Assurant Inc,2018,,252600000,148000000,0.585906572,0.665254237,-0.079347666,141600000,0,0.25605336
545,At&T Inc.,2018,46000000,19953000000,13410000000,0.672079387,0.745232703,-0.073153316,13687000000,-35000000,0.25605336
546,Atmos Energy Corp,2018,,603064000,214906000,0.356356871,0.507872729,-0.151515858,315075000,0,0.25605336
547,Autodesk Inc,2018,41900000,-80800000,,0,0,0,-330500000,0,0.25605336
548,Autozone Inc,2018,,1337536000,,0,0,0,1160241000,0,0.25605336
549,Avalonbay Communities Inc,2018,4524000,974175000,805283000,0.826630739,0.883452671,-0.056821932,741733000,-3720000,0.25605336
550,Avery Dennison Corp,2018,,467400000,175000000,0.374411639,0.485235144,-0.110823505,274300000,0,0.25605336
551,BAKER HUGHES a GE Co LLC,2018,586000000,139000000,,0,0,0,-631000000,2518000000,0.25605336
552,BALL Corp,2018,191000000,453000000,137000000,0.302428256,0.237623762,0.064804494,303000000,195000000,0.25605336
553,Bank Of America Corp /DE/,2018,,28147000000,6895000000,0.244963939,0.224638592,0.020325347,15910000000,0,0.25605336
554,Bank of New York Mellon Corp,2018,,4254000000,1221000000,0.287023977,0.268466791,0.018557187,3222000000,0,0.25605336
555,Baxter International Inc,2018,,1624000000,376000000,0.231527094,0.940082645,-0.708555551,968000000,0,0.25605336
556,Bb&T Corp,2018,146000000,3257000000,1378000000,0.423088732,0.441356571,-0.018267839,2123000000,165000000,0.25605336
557,Becton Dickinson & Co,2018,744000000,311000000,927000000,2.980707395,0.697841727,2.282865669,695000000,426000000,0.25605336
558,Berkshire Hathaway Inc,2018,,4322000000,,0,0,0,24414000000,0,0.25605336
559,Best Buy Co Inc,2018,46000000,1464000000,,0,0.556298774,-0.556298774,897000000,198000000,0.25605336
560,Biogen Inc.,2018,759300000,4474000000,0,0,0,0,3593200000,93400000,0.25605336
561,BlackRock Inc.,2018,60000000,4302000000,1968000000,0.457461646,0.440334129,0.017127517,3352000000,0,0.25605336
562,Boeing Co,2018,-75000000,10460000000,3946000000,0.377246654,0.481066461,-0.103819807,5176000000,1000000,0.25605336
563,Booking Holdings Inc.,2018,0,3998000000,,0,0,0,2551360000,0,0.25605336
564,Borgwarner Inc,2018,,984600000,141500000,0.143713183,0.190096107,-0.046382924,613900000,0,0.25605336
565,Boston Properties Inc,2018,,712563000,587628000,0.824668135,1.532905873,-0.708237738,799918000,0,0.25605336
566,Boston Scientific Corp,2018,174000000,1671000000,,0,0,0,-239000000,1150000000,0.25605336
567,"Brighthouse Financial, Inc.",2018,,870000000,0,0,0.689008043,-0.689008043,1119000000,0,0.25605336
568,Bristol Myers Squibb Co,2018,,4947000000,2613000000,0.528198908,1.518700184,-0.990501276,1631000000,0,0.25605336
569,Broadcom Inc.,2018,233000000,12610000000,2998000000,0.237747819,0.299120235,-0.061372415,1364000000,0,0.25605336
570,C H Robinson Worldwide Inc,2018,,664505000,265219000,0.399122655,0.462263022,-0.063140367,509699000,0,0.25605336
571,Cabot Oil & Gas Corp,2018,0,557043000,111369000,0.19992891,-0.290540956,0.490469866,-113891000,114875000,0.25605336
572,Cadence Design Systems Inc,2018,11089000,345777000,,0,0,0,252417000,4511000,0.25605336
573,Campbell Soup Co,2018,62000000,261000000,426000000,1.632183908,0.591591592,1.040592316,666000000,102000000,0.25605336
574,Capital One Financial Corp,2018,,6015000000,1038000000,0.172568579,0.240493827,-0.067925249,4050000000,0,0.25605336
575,Carnival Corp,2018,0,3152000000,1355000000,0.429885787,0.464428002,-0.034542215,1757000000,0,0.25605336
576,Caterpillar Inc,2018,0,6148000000,1951000000,0.317338972,0.696393183,-0.379054211,2523000000,0,0.25605336
577,"Cboe Global Markets, Inc.",2018,30000000,425200000,130300000,0.306444026,0.35804878,-0.051604754,205000000,0,0.25605336
578,"Cbre Group, Inc.",2018,,1065948000,,0,0,0,558877000,0,0.25605336
579,Cbs Corp,2018,195000000,1960000000,276000000,0.140816327,0.212314225,-0.071497899,1413000000,45000000,0.25605336
580,Celanese Corp,2018,-4000000,1213000000,280000000,0.230832646,0.610526316,-0.379693669,285000000,360000000,0.25605336
581,Celgene Corp /DE/,2018,112000000,4046000000,,0,0,0,1602000000,300000000,0.25605336
582,Centene Corp,2018,,894000000,,0,0,0,357000000,0,0.25605336
583,Centerpoint Energy Inc,2018,,368000000,510000000,1.385869565,0,1.385869565,-692000000,0,0.25605336
1070,Cerner Corp /MO/,2018,,630059000,,0,0,0,539362000,0,0.25605336
1071,"CF Industries Holdings, Inc.",2018,,428000000,280000000,0.654205607,0.384196185,0.270009422,734000000,0,0.25605336
1072,"Charter Communications, Inc. /MO/",2018,,1506000000,,0,0,0,-271000000,0,0.25605336
1073,Chevron Corp,2018,,14860000000,8502000000,0.572139973,1.696815287,-1.124675314,4710000000,0,0.25605336
1074,Chipotle Mexican Grill Inc,2018,66639000,176553000,,0,0,0,475602000,13194000,0.25605336
1075,Chubb Ltd,2018,,3962000000,1337000000,0.33745583,0.304163726,0.033292104,2834000000,0,0.25605336
1076,Church & Dwight Co Inc /DE/,2018,,568600000,213300000,0.375131903,0.42714425,-0.052012347,410400000,0,0.25605336
1077,Cigna Corp,2018,,2646000000,,0,0,0,2077000000,0,0.25605336
1078,Cimarex Energy Co,2018,0,791851000,55243000,0.069764387,-0.022593003,0.09235739,-2579604000,4033295000,0.25605336
1079,Cincinnati Financial Corp,2018,,287000000,336000000,1.170731707,0.577287066,0.593444641,634000000,0,0.25605336
1080,"Cisco Systems, Inc.",2018,358000000,110000000,5968000000,54.25454545,0.454960472,53.79958498,8981000000,484000000,0.25605336
1081,Citigroup Inc,2018,,18080000000,5020000000,0.277654867,0.072294023,0.205360845,17332000000,0,0.25605336
1082,Citizens Financial Group Inc/RI,2018,,1721000000,485000000,0.281812899,0.263095238,0.018717661,840000000,0,0.25605336
1083,Citrix Systems Inc,2018,32579000,575667000,46799000,0.081295263,0,0.081295263,319361000,196139000,0.25605336
1084,Cme Group Inc.,2018,,1963700000,2149900000,1.094821001,1.077305533,0.017515468,1247000000,0,0.25605336
1085,Cms Energy Corp,2018,,659000000,407000000,0.617602428,0.613333333,0.004269095,525000000,0,0.25605336
1086,Coca Cola Co,2018,,6476000000,6644000000,1.025941939,0.7793918,0.246550139,7366000000,0,0.25605336
1087,Cognizant Technology Solutions Corp,2018,,2101000000,468000000,0.222751071,0,0.222751071,1624000000,0,0.25605336
1088,Colgate Palmolive Co,2018,,2558000000,1591000000,0.621970289,0.964470284,-0.342499995,1548000000,0,0.25605336
1089,Comcast Corp,2018,-341000000,11862000000,3629000000,0.305934918,0.317247118,-0.011312199,8413000000,0,0.25605336
1090,Comerica Inc /NEW/,2018,53000000,1235000000,263000000,0.212955466,0.282149712,-0.069194247,521000000,0,0.25605336
1091,Concho Resources Inc,2018,-761000000,2286000000,,0,0,0,66000000,115000000,0.25605336
1092,Conocophillips,2018,27000000,6305000000,1363000000,0.216177637,-0.838252116,1.054429753,-4371000000,2245000000,0.25605336
1093,Consolidated Edison Inc,2018,,1382000000,842000000,0.609261939,0.614417435,-0.005155496,1193000000,0,0.25605336
1094,Cooper Companies Inc,2018,24400000,139900000,2900000,0.020729092,0.014139444,0.006589648,205100000,0,0.25605336
1095,Copart Inc,2018,1131000,418007000,,0,0,0,219783000,0,0.25605336
1096,Corning Inc /NY,2018,,1066000000,685000000,0.642589118,0.507094847,0.135494271,1339000000,0,0.25605336
1097,Costco Wholesale Corp /NEW,2018,,3179000000,689000000,0.216734822,1.189290162,-0.97255534,2409000000,0,0.25605336
1098,Crown Castle International Corp,2018,26000000,671000000,1895000000,2.82414307,0.76127098,2.06287209,1524335000,33468000,0.25605336
1099,Csx Corp,2018,0,3309000000,751000000,0.226956785,0.348577236,-0.121620451,1968000000,0,0.25605336
1100,Cummins Inc,2018,,2187000000,718000000,0.328303612,0.423129252,-0.094825639,1470000000,301000000,0.25605336
1101,CVS HEALTH Corp,2018,6149000000,-596000000,2038000000,-3.419463087,0.300820767,-3.720283855,5239000000,0,0.25605336
1102,Danaher Corp /DE/,2018,,2650900000,433400000,0.163491644,0.105468517,0.058023127,3357400000,0,0.25605336
1103,Davita Inc.,2018,-40159000,333040000,,0,0,0,427410000,499066000,0.25605336
1104,Deere & Co,2018,,2370600000,805800000,0.339913946,0.420578082,-0.080664136,1940900000,0,0.25605336
1105,Delta Air Lines Inc /DE/,2018,,3935000000,909000000,0.231003812,0.079319487,0.151684325,4526000000,0,0.25605336
1106,DENTSPLY SIRONA Inc.,2018,1306800000,-1010900000,,0,0.159299084,-0.159299084,251100000,64700000,0.25605336
1107,Devon Energy Corp/DE,2018,7000000,3224000000,149000000,0.046215881,-0.02902162,0.075237501,-13645000000,17654000000,0.25605336
1108,"Diamondback Energy, Inc.",2018,0,944895000,37313000,0.039489044,0,0.039489044,-547790000,814798000,0.25605336
1109,"Digital Realty Trust, Inc.",2018,0,341115000,930782000,2.728645765,1.817222662,0.911423102,301591000,17400000,0.25605336
1110,Discover Financial Services,2018,,2742000000,552000000,0.20131291,0.224205485,-0.022892575,2297000000,0,0.25605336
1111,"Discovery, Inc.",2018,666000000,681000000,,0,0,0,1048000000,67000000,0.25605336
1112,DISH Network CORP,2018,,1655491000,,0,0,0,842026000,146652000,0.25605336
1600,Dominion Energy Inc /VA/,2018,23000000,2549000000,2185000000,0.857198902,0.79875195,0.058446951,1923000000,0,0.25605336
1601,DOVER Corp,2018,,570267000,283570000,0.497258302,0.296574384,0.200683918,869829000,0,0.25605336
1602,DowDuPont Inc.,2018,1105000000,3999000000,3491000000,0.872968242,0.289477065,0.583491177,7783000000,559000000,0.25605336
1603,Dte Energy Co,2018,27000000,1118000000,620000000,0.554561717,0.695833333,-0.141271616,720000000,106000000,0.25605336
1604,Duke Energy CORP,2018,402000000,2644000000,2471000000,0.934568835,0.796185094,0.138383741,2831000000,106000000,0.25605336
1605,Duke Realty Corp,2018,,387268000,291502000,0.752713883,0.493951221,0.258762662,621861000,0,0.25605336
1606,E Trade Financial Corp,2018,7000000,1052000000,72000000,0.068441065,0,0.068441065,268000000,17000000,0.25605336
1607,Eastman Chemical Co,2018,45000000,1084000000,318000000,0.293357934,0.278688525,0.014669409,854000000,183000000,0.25605336
1608,Eaton Corp plc,2018,275000000,2146000000,1149000000,0.535414725,0.519756839,0.015657886,1974000000,0,0.25605336
1609,Ebay Inc,2018,,2530000000,,0,0,0,1725000000,0,0.25605336
1610,Ecolab Inc.,2018,126700000,1440300000,496500000,0.34471985,0.393924499,-0.049204649,1017200000,414800000,0.25605336
1611,Edison International,2018,78000000,-316000000,788000000,-2.493670886,0.4870188,-2.980689686,1117000000,5000000,0.25605336
1612,Edwards Lifesciences Corp,2018,330200000,722200000,,0,0,0,494900000,7000000,0.25605336
1613,Emerson Electric Co,2018,,2224000000,1229000000,0.552607914,0.464324918,0.088282996,2733000000,-1039000000,0.25605336
1614,Entergy Corp /DE/,2018,532321000,862555000,661889000,0.767358603,-3.947165261,4.714523864,-156734000,2104906000,0.25605336
1615,Eog Resources Inc,2018,347021000,3419040000,438045000,0.128119297,-0.081114771,0.209234068,-4524515000,6613546000,0.25605336
1616,Equifax Inc,2018,,306300000,187900000,0.613450865,0.316927323,0.296523542,434800000,0,0.25605336
1617,Equinix Inc,2018,28400000,365359000,738600000,2.021573302,2.777067113,-0.755493811,187774000,41723000,0.25605336
1618,Equity Residential,2018,702000,685192000,785985000,1.147101834,0.867939843,0.279161992,908018000,0,0.25605336
1619,"Essex Property Trust, Inc.",2018,194000,413599000,484182000,1.170655635,1.47944924,-0.308793605,248239000,2414000,0.25605336
1620,Everest Re Group Ltd,2018,,103552000,216221000,2.088042722,0.179069998,1.908972724,977869000,0,0.25605336
1621,"Evergy, Inc.",2018,,546000000,475000000,0.86996337,0.616707975,0.253255395,301796000,0,0.25605336
1622,Eversource Energy,2018,,1040500000,647629000,0.622420951,0.606441957,0.015978994,886004000,0,0.25605336
1623,EXELON Corp,2018,,2084000000,1332000000,0.63915547,0.491111111,0.148044359,2250000000,0,0.25605336
1624,"Expedia Group, Inc.",2018,128000000,398000000,186000000,0.467336683,0.150158838,0.317177845,722748000,112078000,0.25605336
1625,Expeditors International Of Washington Inc,2018,,619790000,156840000,0.253053454,0.295264169,-0.042210716,459497000,0,0.25605336
1626,Extra Space Storage Inc.,2018,,447080000,424907000,0.950404849,1.285230223,-0.334825374,209536000,0,0.25605336
1627,Exxon Mobil Corp,2018,,21421000000,13798000000,0.644134261,0.730469458,-0.086335197,16551000000,0,0.25605336
1628,F5 Networks Inc,2018,18426000,453689000,,0,0,0,365014000,0,0.25605336
1629,Facebook Inc,2018,,22112000000,,0,0,0,3688000000,0,0.25605336
1630,Fastenal Co,2018,-500000,751900000,441900000,0.587711132,0.633423703,-0.045712571,516400000,-1400000,0.25605336
1631,Federal Realty Investment Trust,2018,,249026000,301194000,1.209488166,1.113952679,0.095535487,218424000,0,0.25605336
1632,"Fidelity National Information Services, Inc.",2018,95000000,881000000,421000000,0.477866061,0.474339036,0.003527026,643000000,0,0.25605336
1633,Fifth Third Bancorp,2018,,2193000000,565000000,0.257637939,0.291324736,-0.033686797,1706000000,0,0.25605336
1634,Firstenergy Corp,2018,0,1348000000,772000000,0.572700297,1.05017301,-0.477472714,578000000,42000000,0.25605336
1635,Fiserv Inc,2018,-227000000,1187000000,,0,0,0,712000000,0,0.25605336
1636,Fleetcor Technologies Inc,2018,,811483000,,0,0,0,362431000,0,0.25605336
1637,Flir Systems Inc,2018,18562000,282425000,88123000,0.312022661,0.254044504,0.057978157,241686000,1361000,0.25605336
1638,Flowserve Corp,2018,7727000,125050000,99416000,0.795009996,0.354713351,0.440296645,264016000,0,0.25605336
1639,Fluor Corp,2018,,292958000,118734000,0.405293592,0.263584039,0.141709553,475006000,-68162000,0.25605336
1640,Fmc Corp,2018,63700000,511500000,89200000,0.174389052,0.17331996,0.001069092,498500000,150300000,0.25605336
1641,"Foot Locker, Inc.",2018,,541000000,,0,0.256931608,-0.256931608,541000000,0,0.25605336
1642,Ford Motor Co,2018,,3695000000,2905000000,0.786197564,0.32288699,0.463310575,7371000000,0,0.25605336
1643,Fortinet Inc,2018,0,332200000,,0,0,0,7987000,7600000,0.25605336
2127,Fortive Corp,2018,,2913800000,131500000,0.045130071,0,0.045130071,863800000,0,0.25605336
2128,"Fortune Brands Home & Security, Inc.",2018,86700000,389800000,115200000,0.295536172,0.283676704,0.011859469,315500000,33300000,0.25605336
2129,Franklin Resources Inc,2018,,742700000,2116900000,2.85027602,0.316624697,2.533651323,2104700000,0,0.25605336
2130,Freeport-Mcmoran Inc,2018,-119000000,2894000000,218000000,0.075328265,-0.050045496,0.125373761,-12089000000,39000000,0.25605336
2131,Gallagher Arthur J & Co,2018,,675900000,301800000,0.446515757,0.661783603,-0.215267846,389100000,0,0.25605336
2132,Gap Inc,2018,,1003000000,-373000000,-0.371884347,0.409782609,-0.781666956,920000000,0,0.25605336
2133,Garmin Ltd,2018,,694080000,296148000,0.42667704,0.828791369,-0.402114329,456227000,0,0.25605336
2134,Gartner Inc,2018,,122456000,,0,0,0,175635000,0,0.25605336
2135,General Dynamics Corp,2018,,3345000000,1075000000,0.321375187,0.287549407,0.03382578,3036000000,0,0.25605336
2136,General Electric Co,2018,,-22443000000,4474000000,-0.199349463,-1.603968939,1.404619476,-5795000000,0,0.25605336
2137,General Motors Co,2018,,8005000000,2242000000,0.280074953,0.233177327,0.046897626,9615000000,0,0.25605336
2138,Genuine Parts Co,2018,,810474000,415983000,0.513258908,0.52189119,-0.008632282,705672000,0,0.25605336
2139,Gilead Sciences Inc,2018,,5460000000,2971000000,0.544139194,0.103501602,0.440637592,18106000000,0,0.25605336
2140,Global Payments Inc,2018,,484667000,6332000,0.01306464,0.018741149,-0.005676509,290217000,0,0.25605336
2141,Goldman Sachs Group Inc,2018,,10459000000,1810000000,0.173056698,0.276343909,-0.103287212,6083000000,0,0.25605336
2142,Goodyear Tire & Rubber Co /OH/,2018,44000000,708000000,138000000,0.194915254,0.180851064,0.01406419,376000000,114000000,0.25605336
2143,Grainger W W Inc,2018,,823000000,316000000,0.383961118,0.390326221,-0.006365103,785174000,0,0.25605336
2144,Half Robert International Inc /DE/,2018,,434288000,136423000,0.314130255,0.300621024,0.01350923,357796000,0,0.25605336
2145,Halliburton Co,2018,265000000,1657000000,630000000,0.38020519,-0.92053973,1.30074492,-667000000,2485000000,0.25605336
2146,Hanesbrands Inc.,2018,,553084000,216316000,0.391108765,0.376155111,0.014953654,428855000,0,0.25605336
2147,Harley Davidson Inc,2018,93401000,531451000,245810000,0.462526178,0.331374209,0.131151969,752207000,0,0.25605336
2148,Hartford Financial Services Group Inc/DE,2018,,1807000000,379000000,0.2097399,0.187871581,0.021868319,1682000000,0,0.25605336
2149,Hasbro Inc,2018,,220434000,309258000,1.402950543,0.505283392,0.897667151,446872000,0,0.25605336
2150,"HCA Healthcare, Inc.",2018,-428000000,4389000000,487000000,0.110959216,0,0.110959216,2696000000,5000000,0.25605336
2151,"Hcp, Inc.",2018,66032000,1073474000,696913000,0.649212743,-1.915453005,2.564665748,-546418000,135658000,0.25605336
2152,"Helmerich & Payne, Inc.",2018,468000,482672000,308430000,0.63900537,0.709676115,-0.070670745,420427000,27408000,0.25605336
2153,Henry Schein Inc,2018,101400000,562126000,,0,0,0,523427000,34931000,0.25605336
2154,Hershey Co,2018,76832000,1171051000,562521000,0.48035568,0.928221214,-0.447865534,512951000,365430000,0.25605336
2155,Hess Corp,2018,0,-115000000,345000000,-3,-0.095443964,-2.904556036,-3007000000,1616000000,0.25605336
2156,Hewlett Packard Enterprise Co,2018,189000000,1908000000,570000000,0.298742138,0,0.298742138,2461000000,281000000,0.25605336
2157,Hilton Worldwide Holdings Inc.,2018,,769000000,181000000,0.235370611,0.097457627,0.137912984,1416000000,0,0.25605336
2158,HollyFrontier Corp,2018,0,1177224000,233544000,0.198385354,0.307670453,-0.109285099,802508000,0,0.25605336
2159,Hologic Inc,2018,,-111300000,,0,0,0,131600000,0,0.25605336
2160,Home Depot Inc,2018,,11121000000,-4704000000,-0.422983545,0.432444001,-0.855427545,7009000000,0,0.25605336
2161,Honeywell International Inc,2018,,6828000000,2272000000,0.33274751,0.356096555,-0.023349044,4847000000,0,0.25605336
2162,Hormel Foods Corp /DE/,2018,17279000,1012582000,388107000,0.383284514,0.36497474,0.018309774,687264000,21537000,0.25605336
2163,Horton D R Inc /DE/,2018,-18800000,1462300000,188400000,0.128838132,0.122019449,0.006818683,750700000,9800000,0.25605336
2164,"Host Hotels & Resorts, Inc.",2018,-7000000,1151000000,629000000,0.546481321,1.143362832,-0.596881511,565000000,-2000000,0.25605336
2165,Hp Inc,2018,255000000,5327000000,899000000,0.168762906,0.27448397,-0.105721064,4554000000,64000000,0.25605336
2166,Humana Inc,2018,,1683000000,265000000,0.157456922,0.134796238,0.022660684,1276000000,0,0.25605336
2167,Hunt J B Transport Services Inc,2018,,489585000,104994000,0.2144551,0.227893314,-0.013438214,427235000,0,0.25605336
2168,Huntington Bancshares Inc/MD,2018,,1393000000,584000000,0.419239052,0.324675325,0.094563728,693000000,0,0.25605336
2169,"Huntington Ingalls Industries, Inc.",2018,,836000000,132000000,0.157894737,0.20049505,-0.042600313,404000000,75000000,0.25605336
2170,Idexx Laboratories Inc /DE,2018,,377047000,,0,0,0,192135000,8212000,0.25605336
2171,IHS Markit Ltd.,2018,1700000,539200000,,0,0,0,240200000,39400000,0.25605336
2172,Illinois Tool Works Inc,2018,189000000,2563000000,1124000000,0.438548576,0.390731964,0.047816612,1899000000,233000000,0.25605336
2173,Fortive Corp,2018,,2913800000,131500000,0.045130071,-,#VALUE!,-,-,0.25605336
2174,"Fortune Brands Home & Security, Inc.",2018,86700000,389800000,115200000,0.295536172,-,#VALUE!,-,-,0.25605336
2175,Franklin Resources Inc,2018,,742700000,2116900000,2.85027602,-,#VALUE!,-,-,0.25605336
2176,Freeport-Mcmoran Inc,2018,-119000000,2894000000,218000000,0.075328265,-,#VALUE!,-,-,0.25605336
2177,Gallagher Arthur J & Co,2018,,675900000,301800000,0.446515757,-,#VALUE!,-,-,0.25605336
2178,Gap Inc,2018,,1003000000,-373000000,-0.371884347,-,#VALUE!,-,-,0.25605336
2179,Garmin Ltd,2018,,694080000,296148000,0.42667704,-,#VALUE!,-,-,0.25605336
2180,Gartner Inc,2018,,122456000,,0,-,#VALUE!,-,-,0.25605336
2181,General Dynamics Corp,2018,,3345000000,1075000000,0.321375187,-,#VALUE!,-,-,0.25605336
2182,General Electric Co,2018,,-22443000000,4474000000,-0.199349463,-,#VALUE!,-,-,0.25605336
2183,General Motors Co,2018,,8005000000,2242000000,0.280074953,-,#VALUE!,-,-,0.25605336
2184,Genuine Parts Co,2018,,810474000,415983000,0.513258908,-,#VALUE!,-,-,0.25605336
2185,Gilead Sciences Inc,2018,,5460000000,2971000000,0.544139194,-,#VALUE!,-,-,0.25605336
2186,Global Payments Inc,2018,,484667000,6332000,0.01306464,-,#VALUE!,-,-,0.25605336
2187,Goldman Sachs Group Inc,2018,,10459000000,1810000000,0.173056698,-,#VALUE!,-,-,0.25605336
2188,Goodyear Tire & Rubber Co /OH/,2018,44000000,708000000,138000000,0.194915254,-,#VALUE!,-,-,0.25605336
2189,Grainger W W Inc,2018,,823000000,316000000,0.383961118,-,#VALUE!,-,-,0.25605336
2190,Half Robert International Inc /DE/,2018,,434288000,136423000,0.314130255,-,#VALUE!,-,-,0.25605336
2191,Halliburton Co,2018,265000000,1657000000,630000000,0.38020519,-,#VALUE!,-,-,0.25605336
2192,Hanesbrands Inc.,2018,,553084000,216316000,0.391108765,-,#VALUE!,-,-,0.25605336
